Comment,Predicted Label
بسته بندی تمیز کیفیت محصولات هم بسیار خوب لطفا صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود سوپر میوههای دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت واقعا تعهد کیفیت سبزی من بسیار عالی غیر قابل مقایسه,0.0
غذا کاملا سرد رسید اینکه فاصله خیلی کم اینکه بال کاملا قسمت سوخاریش خمیر شده,1.0
خداییش دستتون درد نکنه نسبت قیمت عاااااالی,0.0
واسه ۱دونه پیتزا ۲ساعت تاخیر غیرقابل قبول میباشد باگت عزیز ظرفیت تحویل غذا ساعات پیک ندارید سفارش نگیرید لطفا,1.0
ساندویچ خیلی خوب فقط علت جابجایی کل ساندویچ سمت جمع میشود,0.0
قارچ بسیار عالى ولى مرغ سوخارى داخلش نپخته نظر مونده,1.0
من کل باگتو دوست دارم کیفیت ساندویچ استیک خیلی افت کرده,0.0
پیتزا واقعا بد توقع رستوران پیتزا خمیر محصولات کیفیت بیشتری داشتم,1.0
شیرینیها بسیار تازه خوشمزه بودن,0.0
نوشابه ارسال نشده متاسفانه مرغ هم بی مزه,1.0
سلام کیفیت نون خامهای خوب نبود هم نونش هم خامه کم تنوع شیرینیتر خیلی ضعیف لطیفه نون خامهای رولت ساده ساده خودمون مراجعه میکردیم مدل رولت رو نمیگرفتیم واقعا یعنی همین یه مدل رولت رو داشتید ولی طعم شیرینی مناسب,1.0
من کلا ساندویچ مرغ نمیخوردم پیشنهاد یکی دوستان رستوران ساندویچ مرغ گرفتم شدم مشتری ثابتشون نظرم ارزش داره کسانی مرغ دوست ندارن یکبار ساندویچ استیک مرغ مخصوص اینجا رو تست کنن,0.0
غذا بسیار سرد تاخیر زیاد رسید,1.0
نان بدون پلاستیک تحویل داده اصلا بهداشتی,1.0
غذا کاملا سرد بزخورد مسئول رستوران وقتی پیگیری زنگ زدیم فوق العاده بد,1.0
نظرم بهتره قبل درست کردن ساندویچ نانها رو دستگاه تست کرد ساندویچها وا نره ممنون,0.0
بسیار تازه خوشمزه ممنون,0.0
سالاد کرنبری هم کاهوهای قدیمی پلاسیده استفاده کردن هم اینکه خیلی درشت درشت بریده لازم دوباره چاقو بریده بشن پیتژا باروژ انتظار میره پیتزایی اسم رستوران هستش بهترین پیتژا باشه رستوران پیتزاهای بهتر هم داره پیتزا باروژ فقط مزهی سیر میده,1.0
غذا سرد وسوپ اصلا خوشمزه نبود اسپرینگ رول سرد,1.0
کیفیت عذا خوب ولی نسبت حجم خیلی گرون همین قیمت کیفیت رستورانهای دیگه حجم غذاشون خیلی بیشتره,1.0
تمام سیب زمینیها چسبیده بودن ظرف بعد کارتن خیس شده کنده نمیشد اصلا نشد بخورم خیلی ناراضی ام,1.0
سیب زمینی سوخته,1.0
متاسفانه غذا خیلی بد سس آلفردو بد طعم اصلا سس آلفردو نبود یه سس سفید معمولی ناپخته,1.0
کیفیت شرینی بسیار پایین شیرینی خیلی کهنه مونده,1.0
یکی موارد سفارش اشتباه برام فرستاده بودن پیک اسنپ خیلی سریع برام برد تعویضش کرد ممنون زوکت البته اشتباه هم خاطر شلوغ بودن سفارشات بوده ممنون پیک محترم اسنپ فود,0.0
اگه شیر مانیزان بسیار باکیفیت موجود کنید ممنون میشم نهایت نظر بنده هم کار اسنپ فود حرفهای هم سوپرمارکت ارزوی موفقیت بیشتر,0.0
له شده اصلا خوب نبود,1.0
عالیییی عاااالی دوتا سفارش دادیم ۴نفر خوردن فقط یه مقدار پنیرش خوب آب نشده ربعه رسید بسته بندی خوب,0.0
واقعا گوشت مانده بسیار بد طعم داره شده استفاده شده استفاده زیره,1.0
سلام عالیه تورو خدا همینجوری خاک قند باشه جدا نباشه,0.0
جای گوشت چرخ شده سویا استفاده شده من سویا حساسیت دارم نتونستم بخورم,1.0
سلام بستنی درخواستی لیوانی ماکسی بوده متأسفانه بدون کوچکترین هماهنگی سوال بستنی چوبی ارسال نمودند,1.0
سیخ اضافه گوجه سفارش دادم ولی نیاوردند البته خود جوجه کباب گوجه ولی سیخ اضافه نبود,1.0
واقعا کیفیت پیتزاهاتون حرف نداره خدا کنه همیشه همین مدلی هم بمونه فقط تو رو خدا یکم قیمت مالیاتتون کم کنید,0.0
من همیشه غذا میگیرم وای سری اصلا کیفیت غذاتون خوب نبود سس نفرستاده بودین واقعا فکر نکردین ساندویچو چجوری میشه بدون سس خورد ا,1.0
یه مرغ دو تیکه بیش ۱ ساعت زمان برد صورتی خودم رستوران تماس میگرفتم سریعتر میومد کیفیت مرغ خیلی بد سیب زمینی کنار غذا کاملا مانده,1.0
تنباکوهای ارسالی تاریخ مصرف شان گذشته,1.0
غذا کاملاسردبود جوجه اصلا کیفیت نداشت دورچین اون چیزی نبود ک توی عکس توضیحات داشتید,1.0
دلیوری عالیه فک کنم زیر ۱۰ دیقه تحویل گرفتم,0.0
واقعا بدترین نوع کیفیت رو,1.0
قاشق همرا غذا فرستاده نشده فاکتور لازم داشتم اون رو هم نفرستاده کیفیت غذا هم ضعیف متاسفانه,1.0
چی ناب همین فرمون برید جلووووو,0.0
سلام فقط محدودیتی حداقل مبلغ خرید تعیین نمیکرد خیلی بهتر,0.0
نظر من خوب مخصوصا بسته بندیش,0.0
ارزش ۱ نیم ساعت وقت رو نداشت براش منتظر موندم,1.0
حجم کم کیفیت پایین من راضی نبودم,1.0
چی خوب خصوص کتهها ماهی کبابی ولی سوپ کمی شور,0.0
مزهی خوبی ولی خیلی دیر دستم رسید جای ۴تیکه ۳تیکه مرغ توی جعبه,1.0
چیز خوب جز سالاد فصل کاهوی تلخ استفاده شده,0.0
مثل همیشه نبود سه پرس یکیش خورده نشد کیفیت پایین,1.0
مرغ مونده شاید همین تخفیف خورده,1.0
بد بدترین پیتزای عمرم هم مقدارش نسبت قیمت کم هم مزهی خیلی بدی,1.0
خیلی خوب سریع جنسهای درخواستی تحویل داده متشکرم,0.0
عالی جوجه استخوناشون حرف نداشت خیلی خوش مزه,0.0
برخورد خود مسئول رستوران بسیار بد ولی پیگیری اسنپ فود ممنونم,0.0
واقعا یه زمانی برگر لند یکی بهترینها ولی الان حد معمولی هم نمیدونم چی شده اینقدر افت کرده کیفیت برگراش حیف,1.0
کیفیت غذا توجه هزینش خیلی خوب ممنون,0.0
بسیار عالی دو روز پشت سرهم سفارش دادم,0.0
کیفیت غذا نسبت قبل پایین امده من مورد غذا توضیحاتی داده بودم مثل سس اضافه ولی سس اضافه نذاشتن هیچ اصلا سس نذاشته بودن,1.0
پیتزا پنجرهای خوب ولی سبزیجات نمیدونم چرا اینبار مزهای نداشت قبلا بهتر ولی ممنون تحویل موقع,0.0
زمانی سفارش دادم وقتی دستم رسید ساعت زمان برد بجای دو کیلو شیرینی کیلو ارسال کرده بودند کم اومد وسط کلاس کلی خجالت زده شدم,1.0
نان هات داگ تازه نبود هم میپاشید,1.0
مایع دستشویی اوه من رنگ صورتی بنفش فک کنم رایحه شیر وگلهای بهاری سفارش دادم ولی رنگ سبز راسحه خیار الوئه ورا فرستادن,1.0
شیرنی دانمارکی جای ۱ کیلو ۸۰۰ گرم لطفا رسیدگی کنید,1.0
کیفیت خوشمزگی پیتزا نسبت دفعه قبل کم شده نسبت دیگر رستورانهای خوب خیلی پائینتر متاسفانه باید بگم اخرین خرید من,1.0
خوشمزه کشک نسبت کم بسته بندی کیفیت خوب,0.0
کیفیت برنج خوب ولی کیفیت جوجه واقعا بد انقد سفت اصلا خورده نمیشد مثل اینکه مرغ یخ زده استفاده کرده بودند,1.0
سوپر مارکت باتوجه من چند بار حضوری خرید کردم اجناس اسنپ فود خیلی کمتر سوپرمارکت اجناسی مثل روغن سرخ کردنی اسنپ فودش موجود امیدوارم پیگیری اسنپ فود محولات فروشگاهها اسنپ فود بروز کامل باشد,0.0
غذا سرد طعم غذا خوب,0.0
شیرینی خیلی تازه نبود,1.0
دورتادور نون پیتزاش سوخته,1.0
نان خوب پیک خوب پشتبانی خوب اسنپ فود,0.0
عالی زود رسید ممنونم,0.0
قیمت درج شده روی کالاها قیمت درخواستی مغایرت عنوان مثال دوغ عالیس نرخ ثبت شده روی بطری ۵۵۰۰ تومان ۶۸۰۰ تومان سیگار ۸۰۰۰ تومان ۱۱۰۰۰تومان حساب,1.0
دفعه قبل پیتزا گرفته بودیم درس عبرت نشد بار همبرگر گرفتم دیگه درس عبرت همبرگر گوشت چرخکرده فرق میکنه نپخته بد واقعن رتبهی رستورانها نمیشه اعتماد کرد,1.0
تازه خوشمزه فقط هزینه ارسال مسیر کوتاه خیلی زیاده,0.0
ممنونم نانهمگرمبودو بهموفع رسید,0.0
یکم بی طعم مزه,1.0
سلام دو مطلب اولا نوار بهداشتی رو هایپرمارکت ۷۵۰۰ میفروشه حالی چند ساعت بعدش همین اسنپ فود یه هایپر مارکت دیگه خریدم دونهای ۵۰۰۰ تومن ثانیا جای ۴ کیک مینی شی ناین ۴ پیراشکی نان اوران فرستادن میخواستم بدونم تصمیم پیک هایپرمارکت محترمانه نبود قبلش من هم نظرمو میپرسیدن,1.0
متاسفانه عدد نون گزاشتن واسه پرس بندری واقعا جای تاسف داره,1.0
بسیار وقت شناس دقیق محترم,0.0
موقع کیفیت,0.0
اجناسی تو منو زدن رو تداشتن کلی معطل شدم چون حساب رو پرداخت کرده بودم مجبور شدموچیز دیگهای سفارش بدم,1.0
عالی خیلی هم سریع داغ دستم رسید,0.0
پیک غذا گذاشته تو آسانسور میگه غذا زیاد دارم وقت ندارم خود چی پول سرویس پیگیری وقتی چند سرویس هم انجام میدی,1.0
متاسفانه پیک اسنپ فود شیرینیها رو بهم ریخته تحویل داد کی تعارف کردم محبور شدم یکبار هم بابت وضعیت ظاهری بد شیرینیها معذرت بخوام,1.0
عالیییی فقط پنیرش نسبت قارچ کم درکل عالی سه نفری سیر شدیم,0.0
حجم غذا نسبت گذشته کم شده ساندویچ چیکن مرغش بو میداد,1.0
اولین تجربهام رستوران کیفیت مزه کباب خوب فقط سرد اینکه فاصله زیادی نداشتیم پیک محترم هم ممنون سپاسگزاریم,0.0
کیفیت میوه نسبت قیمت خیلی پایین قیمت درجه بعضی میوهها درجه ۳ سومری سر کوچه میوه بهتر قیمت پایینتری بهم داد,1.0
غذا تاخیر ارسال انقدر غذا سرد شده ماسیده مجبور شدم ٢ گاز بزنم متاسفانه بندازم بیرون,1.0
غذا یخ بسته باعث میشه کیفیت غذا پایین بیاد مجددا گرم طعم کلی تغییر کرد عین حال کیفیت پیتزا مرغ اسفناج خیلی بهتر پپرونی دور پیتزا سوخته ممنونم,1.0
طعم بسته عالی واقعا متشکرم خسته نباشید سالها چنین دیزی نخورده بودیم,0.0
بسته بندی شیک تر تمیز غذای خوشمزه واقعا خوب,0.0
شیری من ارسال کردین تاریخ انقضاش فرداست اینجور کالاها اول باید تاریخ انقضا رو چک کنین بعد بفرستین,1.0
من چیز کیک میکس سفارش داده بودم بستهای برام اومد نصفش چیز کیک نصفش کیک خامه ایه توت فرنگی,1.0
مرغ سوخاری چیکن برگرش عالی هات داگش هم خوب بودخیلیم زود رسید خیلی ممنونم,0.0
انقدر مانده شیرینیها هرچی شیرینی زده شدم واقعا بد,1.0
معنای واقعی افتضاح مرغ خیلی بدمزه بوی بد نامطبوعی داخل ساندویج کباب ترکی دریغ پر کاهو خیار شور گوجه تو رو خدا کیفیت پایین غذا رو گردن بالا بودن هزینهها نندازید چون بابت همین دو قلم ۶۰ تومان پول پرداخت,1.0
سالاد سزار خیلی سیر قابل استفاده کسی محیط کار غذا میخورد نبود میتوانستند مقدار ملایمتری سیر استفاده کنند,1.0
کیفیت متوسط نسبت زمان خوبی رسید,0.0
سلام خسته نباشید ممنون عزیزان هستیم بالاخص جناب مدیریت مجموعه بسیار لطف دارند وپیشاپیش سال جدیدرابه وخانواده محترمتان تبریک میگوییم امیدوارم سالی پر ازسلامتی برکت داشتخ باشید,0.0
متن خامه روی کیک ریخته شده,1.0
پیتزا خیلی حجم خوبی دونفرم کافی هستش طعم خوبی,0.0
زود دستم رسید تازه دانمارکی هنوز گرم,0.0
بیرون شبیه کوبیده داخل شیبه لاستیک,1.0
بعد چندین بار دفعه نامیا سفارش میدادم یه چیزیو بعد زنگ میزدن موجود دفعه نوشته استیک گوشت توشه ولی ژامبون گوشته,1.0
گوشتها نپخته قارچ خام پیاز خام زنده نون باگت اثر روغن بیش حد گوشت خیس شده قابل خوردن اولین آخرین بار اینجا خرید کردم افتضاح,1.0
کرم شیرینی مونده سفت شده مرباهای روی تارت خشک شده بدمزه اولین بار جا شیرینی میگرفتیم قطعا آخرین بار,1.0
سلام تشکر ممنونم میشم وقتی داخل توضیحات سفارش نوشته میشود دانشگاه تحویل فرد دانشجو همراه غذا قاشق چنگال یکبار مصرف دستمال گذاشته چون اینجا امکانات رو نداریم سالاد هم بدون چنگال نمیشه خورد همچنین توجه قیمت بالا نسبت حجم پیتزا فک نمیکنم یه سس اضافه بزارن تغییری تو قیمت پیش بیاد ممنونم اسنپ فود بابت تعهد نسبت تغییر هزینه ارسال پیک متشکرم اطلاع رسانی تشکر,0.0
رست بیف خوب نبود,0.0
کوبیده هاتون چرا سفیده گوشت داره اصلا,1.0
غذا خیلی خوب خیلی سریع رسید قیمتشم خیلی مناسب نسبت باقی رستورانهای اطراف,0.0
سفارشم خیلی دیر آماده ولی وقتی آماده پیک خیلی سریع بهمون رسوند,0.0
خواسته بودم داغ برسه داغ داغ نبود طعمشم میتونهی مقدار بیشتر باشه,0.0
محشر خیلی عاااااالی,0.0
مرغ اون رب روی برنج گذاشتن ظرف جدا نظر نگرفتن واسش تمام غذا رو خراب میکنه لااقل سلیقه من همخون,1.0
تعداد آیتمهای انتخابی بسیار کم دقت آوردن اقلام مدت ارسال مشکلی نبود چسز درستی انجام میشود ولی ضعفی دارد تعداد اقلامی میتوان سایت زوکت انتخاب کرد بسیار محدود هستند همین باعث میشود فکر سوپر مارکتهای دیگر باشیم,0.0
اولین بار باقلوا سفارش میدادم شیره ش زیاده چربه البته مغزش هم خیلی کمه من اینجوری زیاد نمیپنم,0.0
من حالا مشتری بودم ولی بخاطر قیمت بسیار بالا نسبت حجم کیفیت دیگه اینجا خرید نخواهم کرد,1.0
سوپرمارکت خیلی راضی ام همیشه دقیق سریعه,0.0
پیک بسته رو تحویل نمیداد میگفتن کخ پول پرداخت کنید درصورتی انلاین پرداخت شده تمام سوپ داخل نایلون ریخته قابل استفاده نبود,1.0
طعم فوق العادهای غذا گرم سریع دستمون رسید عالی,0.0
پیتزا مثل همیشه عالی ولی سیب زمینی متاسفانه اصلا خوب نبود نپخته سس خامه اصلا خوشمزه نبود,1.0
سلام چرا وقتی ۲تا سفارش داده میشه گوشکوب یکی میفرستن صورتی هزینه بسته بندی رو گرفتن نسبتی نوشتن میزان گوشت خیلی کمتر وغذا خیلی زیاد مزه گرد لیمو میداد,1.0
مرغ کاملا سرد برنج کاملا گرم,1.0
واقعا ۱ ساعت دونهپیتزا زمان زیادی مسیرو سفارشانتخابمیکنیم سریع بهدستمومبرسههمیشه هم سیب چند ساله خیلی خیلی زمان میبره غذاش,0.0
فقط باید بگم متاسفم کیفیت فوق العاده پایین زیر صفر,1.0
چی عالی جز ماشروم برگر افتضاح بوی بد میداد مجبور شدم بندازمش دور ولی بقیه غذاها عالللللللی,1.0
بااینکه توضیحات نوشته بودم شیرینی پخت امروز رو بیارن ولی ظاهرا اینطور نبود یعنی مشخص شیرینیهای مانده هم گذاشته بودن البته دفعه اینطور دفعههای پیش خیلی تازه,1.0
سلام خدا قوت واقعا پیتزاش خیلی معمولی حتی رو پائین,1.0
پیتزای کاملا معمولیه نسبتا ضعیف تازه نبودن مواد درون پیتزا کاملا حس میشد نون پیتزای پخته نشده پنیر پیتزای کم کیفیت کم اصلا توجه قیمت ارزش نداشت,1.0
میشد زودتر هم بیارن ولی بازم موقع,0.0
نوشابه گرم سس نذاشته کم گذاشته,0.0
سریع قیمت مناسب حجم مناسب بسیاااااااار خوشمزه,0.0
کیک بسیار عالى خوشمزه تازه باکیفیت واقعا راضى بودم فقط شمع هم سفارش اضافه کنند عالى میشه پیک هم خیلى مسئول مؤدب بودن واقعا ازشون ممنونم تیم پشتیبانى اسنپ فود هم کمال تشکر دارم,0.0
پارسیان عالی توصیه میکنم امتحان کنید کشمشی هم تازه,0.0
بسیار عالی ولی ۱ کیلو ۲۰۰ نمیخورد خیلی کوچیک,0.0
جای آدامس بایودنت ۱۲ تایی سفارش داده بودم ۷ تایی فرستاده شده,1.0
خوب ولی غذاها یه مقدار شور,0.0
سری پیتزا خیلیخشک کیفیتو سفارش ندید بهتره,1.0
قبلا بسته بندیتون بهتر دونات شکلاتی خیلی مزه روغن مونده میداد روغن توش ماسیده,1.0
غذا شدت سرد رسید داخل مرغ نپخته یعنی کاملا بی کیفیت اندازهای ک بیشترشو ریختم دور حجم غذا خوب زیاد بودش ولی قشنگ بیات بودن سیب زمینیهای تو پاکت واقعا نمیشه حرفی زد دربارش,1.0
سلام کیفیت امشب بسیار پایین غذا سرد سفارش تاخیر ته دیگ بسیار کم برنج چلو لقمه بسیار کم م,1.0
هات داگ رستوران رو سفارش دادم کیفیت مواد اولیه خوبی نداشت کیفیت هات داگ اصلا مناسب نبود علاوه اون ۱۰۰۰ تومنی پول ظرف میگیرن پول همون کاغذیه میپیچن دور ساندویچ گویا حتما اینو قبل سفارش نظر بگیرید هزار تومن پول کاغذ میدید,1.0
واقعا افتضاح جای فیله سینه سری قبل خوب دیگ افتضاحه شبیه لاستیک,1.0
شیرینی دانمارکی ویژه اصلا ربطی دانمارکی نداشت متاسفانه چون عکس هم نداشت واقعا انتظاری داشتم فرق میکرد,1.0
سلام سفارش من کامل ارسال نشد لیست سفارش شکلات فندقی شونیز ۳عدد دو بسته ولی بسته ارسال,1.0
جوجهها داغ نبود گرم یه مقدار بی نمک ولی کل نسبت قیمت حجمش اینا خوب,0.0
بجای سبزی خوردن ترگل سبزی دکتر بیژن فرستادن,1.0
غذا خوب ولی رفتار پیک خیلی بیادبانه اول زنگ زد گفت من زنگ بزنید من شارژ ندارم بعد هم بهش زنگ زدم میگه بیا پایین غذا رو ببر بعد ۲ ۳ بار زنگ زدن زور راضی شده غذا رو بیاره تحویل بده,1.0
پیتزای آرستوگوشتش بو میداد آبکی,1.0
پیتزا امریکن خیلی مزه بوی بد گوشت میداد ولی بقی خوب بودن,1.0
ساعت تاخیر دستم رسید,1.0
کیفیت غدا خوبه فقط متاسفانه برنج هندی استفاده میشه,0.0
کیفیت کاملا پایین مرغ سس پر سرکه,1.0
جای خامه کاکائویی خامه ساده فرستادن,1.0
قارچ سوخاری اصلا خوب نبود قشنگ سرخ نشده بیشتر طمع روغن مایع داغ میداد خود قارچ پودر سوخاری اصلا استفاده نکرده بودن پیتزا بوقلمون اصلا خوب نبود راضی نبودم پیتزا استیکی خورده بودم فکر نمیکردم کیفیت بوقلمون آنقدر پایین باشه قارچ سوخاری,1.0
نسبت قیمت اصلا کیفت خوبی نداشت,1.0
گاناش اختلاف کیک شکلاتیایی خوردم بهتره هنوز کیک انگلیسی محشره براونی خیلی ریچ لطیف تازه راستش من کیک تیرامیسو رو خاطر رطوبت زیادش نپنیدم ولی میدونم رسپی اینه سلیقهی من نه خوب نباشه وجود میارزید امتحان کردن,0.0
چققققققدر کیفیت ساندویچا پایین افتضاااح,1.0
گوجه کبابها حد زیادی سوخته اینکه خیارشور پیاز جای لبو هویج دورچین باشه خیلی بهتره,0.0
پیک سفارش رو اشتباه تحویل نفر دیگه داده,1.0
اجزاش باهم ترکیب نشده قارچ طرف دو سس ساندویچ سس غول آخر چی,1.0
فقط گوشت مرغ پس گوشتش کجاست,1.0
کیفیت حجم غذا خوب کنار ولی ماست خیارش واقعا عالی خیار تازه تازه ترد حتما ماست خیار سفارش بدید,0.0
سلام ممنونم غذاتون خوب رب انارش نسبت حجم غذا کم,0.0
تاخیر ارسال مغایرت سفارش ارسالی,1.0
سفارشم موقع رسید نان آرد عالی ولی زولبیا بامیه جای ۸۰۰ گرم ۶۰۰ گرم گوش فیلها کاملا بیات ولی بامیه زولبیا کاملا تازه خوشمزه,0.0
من ۴ نان کنجدی ۱ نان پرکنجد سفارش داده بودم چیزی دستم رسیده ۲ نان کنجدی نان ساده نان مثلا پرکنجد فقط کمی کش اومده نیمه سوخته نان ساده هزار تومن پیک آورده ولی بعد باز کردن نانها دیدم نان بطور کامل کمه پشتیبانی هم تماس میگیرم میگه ۲۵ نفر جلوم تو صف هستن,1.0
